ID,lat,lon
322,29.52191553,-81.1471312
323,29.61381849,-81.18922071
324,29.7067625,-81.22896614
325,29.80321501,-81.25732377
326,29.90069411,-81.28151209
327,29.99510922,-81.31693844
328,30.0937339,-81.33914554
329,30.19184877,-81.36349431
330,30.28957724,-81.3891231
331,30.39051197,-81.39200274
332,30.48814733,-81.41656353
333,30.58493615,-81.4436839
334,30.68420421,-81.42634085
335,30.77513871,-81.45996392
336,30.86557015,-81.41538852
337,30.96490516,-81.4061107
338,31.06552808,-81.41272611
339,31.15408599,-81.36981862
340,31.21927476,-81.29299263
341,31.31603085,-81.28457758
342,31.40625595,-81.26461302
343,31.48219636,-81.19867323
344,31.57006429,-81.14871853
345,31.66818729,-81.13130648
346,31.75600081,-81.08812939
347,31.83142826,-81.02087274
348,31.89838186,-80.94534661
349,31.96718253,-80.87231955
350,32.05437576,-80.83218098
351,32.1333094,-80.78209251
352,32.18198384,-80.69486162
353,32.25754413,-80.62812818
354,32.28855059,-80.53281734
355,32.33313541,-80.44664207
356,32.42549443,-80.40832592
357,32.4842544,-80.32635894
358,32.53621006,-80.24020557
359,32.57076759,-80.14548209
360,32.61186486,-80.0539555
361,32.63983411,-79.96837325
362,32.70137428,-79.89605795
363,32.75161509,-79.85471138
364,32.78691758,-79.76461406
365,32.85296499,-79.69213673
366,32.89590376,-79.60201849
367,32.96819374,-79.53391565
368,33.01262108,-79.45128871
369,33.01969442,-79.35626504
370,33.10739045,-79.30863702
371,33.15033117,-79.21746
372,33.23909713,-79.18145565
373,33.33750239,-79.15961655
374,33.43058243,-79.12058919
375,33.51028325,-79.05869666
376,33.58476814,-78.99034655
377,33.6567125,-78.91943871
378,33.72139057,-78.84174717
379,33.77777197,-78.7579885
380,33.81947961,-78.66602013
381,33.84496002,-78.56825399
382,33.87650949,-78.47225545
383,33.90103738,-78.37428211
384,33.91223723,-78.27387725
385,33.90937718,-78.17289688
386,33.90749941,-78.071872
387,33.85321257,-78.00071499
388,33.8970087,-77.95079122
389,33.98706239,-77.90731402
390,34.08159286,-77.87162092
391,34.16908521,-77.82130397
392,34.24730487,-77.75737482
393,34.31795239,-77.68510971
394,34.38247952,-77.60732349
395,34.43829509,-77.52310063
396,34.48562512,-77.43380829
397,34.52723152,-77.34169098
398,34.57911638,-77.25495658
399,34.62373403,-77.16445805
400,34.65114052,-77.06717328
401,34.67351906,-76.9686296
402,34.68835824,-76.86863129
403,34.69553257,-76.76788756
404,34.69615728,-76.66680106
405,34.65939486,-76.57645681
406,34.59201918,-76.51794533
407,34.68036893,-76.46951193
408,34.76225834,-76.41131721
409,34.83440771,-76.34052381
410,34.89533543,-76.25999381
411,34.95853341,-76.1811421
412,35.01961355,-76.10066861
413,35.07140495,-76.01385585
414,35.12071322,-75.92562706
415,35.16197489,-75.83337115
416,35.19318957,-75.73727413
417,35.22915515,-75.6429245
418,35.2180676,-75.54497699
419,35.30101941,-75.51286769
420,35.3986597,-75.48722126
421,35.49877666,-75.47494599
422,35.59842486,-75.46385285
423,35.69719824,-75.48486683
424,35.78537281,-75.53354596
425,35.87611506,-75.5779411
426,35.96460223,-75.62674205
427,36.05135777,-75.67863341
428,36.13799443,-75.73061194
429,36.2304247,-75.77153801
430,36.32467654,-75.8079422
431,36.42160128,-75.83667709
432,36.51967712,-75.8610456
433,36.61743172,-75.88650955
434,36.70940279,-75.92832412
435,36.80420911,-75.96321495
436,36.90168091,-75.98966002
437,37.0022873,-75.98999654
438,37.08952159,-75.94337891
439,37.14617338,-75.8598652
440,37.22848668,-75.80292405
441,37.32178336,-75.76521958
442,37.39153252,-75.69253297
443,37.47906212,-75.66536002
444,37.55730596,-75.60976079
445,37.65160991,-75.58299415
446,37.74689983,-75.55570397
447,37.83049757,-75.49887262
448,37.86013686,-75.41488364
449,37.8954238,-75.33746296
450,37.97931348,-75.28120287
451,38.05835059,-75.21818565
452,38.14808523,-75.17258929
453,38.24229205,-75.13606543
454,38.32872331,-75.08378159
455,38.42404799,-75.05184827
456,38.52487047,-75.05289156
457,38.62554052,-75.06215309
458,38.72391286,-75.08445986
459,38.82310102,-75.08860331
460,38.90079508,-75.0262596
461,38.93413221,-74.93233155
462,38.95335823,-74.83426949
463,39.03047347,-74.77239203
464,39.10043491,-74.70292566
465,39.18222521,-74.67200194
466,39.24872592,-74.5960877
467,39.30879866,-74.5156028
468,39.35321856,-74.42485556
469,39.42070823,-74.35009134
470,39.50074996,-74.28843918
471,39.57904528,-74.22456065
472,39.65999876,-74.16407188
473,39.74055215,-74.10323873
474,39.83932016,-74.08696132
475,39.93906041,-74.07095759
476,40.03777761,-74.04922087
477,40.13564271,-74.02387093
478,40.23273654,-73.99580867
479,40.33117446,-73.97396346
480,40.43058476,-73.98420807
481,40.51814036,-73.9820702
482,40.56104964,-73.8911304
483,40.58145945,-73.79220495
484,40.57786644,-73.69144357
485,40.59374983,-73.59222865
486,40.57572641,-73.50910291
487,40.6198262,-73.41833414
488,40.62288947,-73.31825168
489,40.62952323,-73.21798107
490,40.65119336,-73.11923944
491,40.67731353,-73.02162992
492,40.71244259,-72.92684488
493,40.74300943,-72.8305057
494,40.76990145,-72.73305438
495,40.79591247,-72.63536364
496,40.82323895,-72.5380318
497,40.85160637,-72.44100803
