original_index,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
183,184.0,1.0,25.0,29.64184969201149,-89.46372863187537,-40.0,128.0,28.0,24.4,1.48
184,185.0,1.0,25.0,29.64184969201149,-89.46372863187537,-40.0,108.0,14.2,13.9,1.38
186,187.0,1.0,25.0,29.64184969201149,-89.46372863187537,-40.0,68.0,41.1,28.7,1.13
187,188.0,1.0,25.0,29.64184969201149,-89.46372863187537,-40.0,48.0,119.0,19.2,1.03
188,189.0,1.0,25.0,29.64184969201149,-89.46372863187537,-40.0,28.0,23.3,32.8,1.39
189,190.0,1.0,25.0,29.64184969201149,-89.46372863187537,-40.0,8.0,100.4,11.8,1.04
190,191.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,148.0,21.6,22.8,1.33
191,192.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,128.0,32.4,14.0,1.27
192,193.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,108.0,25.1,30.5,1.46
193,194.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,88.0,14.2,24.5,1.5
194,195.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,68.0,35.4,14.0,1.31
195,196.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,48.0,109.8,15.0,0.85
196,197.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,28.0,46.2,27.7,1.24
197,198.0,1.0,26.0,30.16512370501349,-89.17156483315831,-40.0,8.0,89.0,21.3,0.86
199,200.0,1.0,27.0,30.208561846848813,-88.41282108942436,-40.0,128.0,13.4,32.3,1.68
200,201.0,1.0,27.0,30.208561846848813,-88.41282108942436,-40.0,108.0,31.2,22.5,1.19
201,202.0,1.0,27.0,30.208561846848813,-88.41282108942436,-40.0,88.0,15.1,17.3,1.42
202,203.0,1.0,27.0,30.208561846848813,-88.41282108942436,-40.0,68.0,63.1,22.4,1.4
203,204.0,1.0,27.0,30.208561846848813,-88.41282108942436,-40.0,48.0,30.1,9.7,1.37
205,206.0,1.0,27.0,30.208561846848813,-88.41282108942436,-40.0,8.0,59.6,19.0,1.02
